Reference,Quantity,Value,Description,Manufacturer,Voltage rating,Tolerance,Manufacturer part number,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
"TP1-TP9, TP12, TP16-TP19, TP23-TP37",29,test_pad,,,,,,No Distributor PN,,,,,
FID1-FID6,6,Fiducial,,,,,,No Distributor PN,,,,,
"R9, R15-R18, R23-R24",7,10K0,RES 10K OHM 0.1% 1/10W 0603,"KOA Speer Electronics, Inc.",75V,0.1%,RN73H1JTTD1002B25,OK,2019-RN73H1JTTD1002B25CT-ND,Cut Tape (CT),26311,1,"CAD 0.78 (1-9), 0.557 (10-99), 0.2898 (100-999), 0.15599 (1000-2499), 0.15042 (2500+)"
"C4, C17, C25, C33",4,1uF,CAP CER 1UF 16V X7R 0603,Samsung Electro-Mechanics,16V,10%,CL10B105MO8NNWC,OK,1276-6524-1-ND,Cut Tape (CT),2401882,1,"CAD 0.14 (1-9), 0.055 (10-49), 0.0302 (50-99), 0.0248 (100-499), 0.01766 (500-999), 0.01388 (1000+)"
"C7-C12, C16, C26, C31, C44-C46",12,0.1uF,CAP CER 0.1UF 50V X7R 0402,Murata Electronics,16V,10%,GRM155R71H104KE14D,OK,490-10700-1-ND,Cut Tape (CT),11121305,1,"CAD 0.14 (1-9), 0.047 (10-49), 0.0258 (50-99), 0.0212 (100-499), 0.01508 (500-999), 0.01186 (1000-2499), 0.01078 (2500-4999), 0.00992 (5000+)"
"C18, C21, C27-C28, C34-C35, C40-C41",8,0.1uF,CAP CER 0.1UF 50V X7R 0402,Murata Electronics,50V,10%,GRM155R71H104KE14D,OK,490-10700-1-ND,Cut Tape (CT),11121305,1,"CAD 0.14 (1-9), 0.047 (10-49), 0.0258 (50-99), 0.0212 (100-499), 0.01508 (500-999), 0.01186 (1000-2499), 0.01078 (2500-4999), 0.00992 (5000+)"
R2,1,13K30,RES SMD 13.3KOHM 0.1% 1/16W 0402,Panasonic Electronic Components,50V,0.1%,ERA-2AEB1332X,OK,P13.3KDCCT-ND,Cut Tape (CT),8994,1,"CAD 0.6 (1-9), 0.43 (10-99), 0.1718 (100-999), 0.08472 (1000-2499), 0.07848 (2500-4999), 0.07101 (5000+)"
D1-D2,2,SD103AWS-TP,DIODE SCHOTTKY 350MA 40V SOD323,Vishay General Semiconductor - Diodes Division,40V,,SD103AWS-G3-18,OK,SD103AWS-G3-18GICT-ND,Cut Tape (CT),1271,1,"CAD 0.62 (1-9), 0.464 (10-99), 0.2628 (100-499), 0.174 (500-999), 0.13341 (1000-1999), 0.11601 (2000-4999), 0.10441 (5000+)"
"R6, R10",2,5K90,RES SMD 5.9K OHM 0.1% 1/16W 0402,Panasonic Electronic Components,50V,0.1%,ERA-2AEB5901X,OK,P5.9KDCCT-ND,Cut Tape (CT),5428,1,"CAD 0.6 (1-9), 0.43 (10-99), 0.1718 (100-999), 0.08472 (1000-2499), 0.07848 (2500-4999), 0.07101 (5000+)"
"C2-C3, C5-C6",4,22uF,CAP CER 22UF 16V X5R 0805,Samsung Electro-Mechanics,16V,10%,CL21A226MOCLRNC,OK,1276-6780-1-ND,Cut Tape (CT),1495435,1,"CAD 0.5 (1-9), 0.346 (10-49), 0.2306 (50-99), 0.196 (100-499), 0.13832 (500-999), 0.12103 (1000+)"
"C1, C20, C24",3,10uF,CAP CER 10UF 16V X5R 0805,Samsung Electro-Mechanics,16V,10%,CL21A106KOFNNNE,OK,1276-2893-1-ND,Cut Tape (CT),843899,1,"CAD 0.25 (1-9), 0.173 (10-49), 0.0982 (50-99), 0.0814 (100-499), 0.05708 (500-999), 0.04726 (1000+)"
U2,1,DCPA10505P-U/700,DC DC CONVERTER 5V 1W,Texas Instruments,,,DCPA10505P-U/700,OK,296-51051-1-ND,Cut Tape (CT),0,1,CAD 12.48 (1+)
"C14, C38-C39",3,100pF,CAP CER 100PF 50V C0G/NP0 0402,Murata Electronics,50V,10%,GCM1555C1H101JA16D,OK,490-10669-1-ND,Cut Tape (CT),1200674,1,"CAD 0.14 (1-9), 0.036 (10-49), 0.0196 (50-99), 0.0161 (100-499), 0.01146 (500-999), 0.009 (1000-2499), 0.00818 (2500-4999), 0.00753 (5000+)"
U4,1,LMR64010XMFE/NOPB,IC REG BOOST ADJ 1A SOT23-5,Texas Instruments,,,LMR64010XMFE/NOPB,OK,LMR64010XMFE/NOPBCT-ND,Cut Tape (CT),392,1,"CAD 3.08 (1-9), 2.765 (10-24), 2.6092 (25-99), 2.2228 (100+)"
R11-R14,4,453K,RES 453K OHM 0.1% 1/8W 0805,Panasonic Electronic Components,100V,0.1%,ERA-6AEB4533V,OK,P453KDACT-ND,Cut Tape (CT),9775,1,"CAD 0.46 (1-9), 0.386 (10-99), 0.1508 (100-999), 0.06314 (1000-2499), 0.05788 (2500+)"
R22,1,10K0,RES SMD 10K OHM 1% 1/16W 0402,Samsung Electro-Mechanics,50V,1%,RC1005F103CS,OK,1276-3431-1-ND,Cut Tape (CT),61159675,1,"CAD 0.15 (1-9), 0.09 (10-99), 0.0366 (100-999), 0.01643 (1000-2499), 0.01427 (2500-4999), 0.01179 (5000+)"
U6,1,REF3040AIDBZT,IC VREF SERIES 0.2% SOT23-3,Texas Instruments,,,REF3040AIDBZT,OK,REF3040AIDBZTCT-ND,Cut Tape (CT),0,1,"CAD 2.02 (1-9), 1.811 (10-24), 1.7192 (25-99), 1.4121 (100+)"
"C29-C30, C36-C37, C42-C43",6,10nF,CAP CER 10000PF 50V X7R 0402,Murata Electronics,50V,10%,GCM155R71H103KA55D,OK,490-4762-1-ND,Cut Tape (CT),26003574,1,"CAD 0.14 (1-9), 0.04 (10-49), 0.0218 (50-99), 0.0179 (100-499), 0.01278 (500-999), 0.01005 (1000-2499), 0.00914 (2500-4999), 0.0084 (5000+)"
