Reference,Quantity,Value,Description,Manufacturer,Voltage rating,Tolerance,Manufacturer part number,Status,Digi-Key PN,Packaging,Stock,Minimum Order Quantity,Standard Pricing
"TP1, TP6-TP7, TP9, TP12, TP16-TP19, TP23, TP28-TP39",22,test_pad,,,,,,No Distributor PN,,,,,
FID1-FID6,6,Fiducial,,,,,,No Distributor PN,,,,,
U1,1,ADUM7440ARQZ,DGTL ISO 1000VRMS 4CH GP 16QSOP,Analog Devices Inc.,,,ADUM7440ARQZ-RL7,OK,ADUM7440ARQZ-RL7CT-ND,,,,
R2,1,13K30,RES SMD 13.3KOHM 0.1% 1/16W 0402,Panasonic Electronic Components,50V,0.10%,ERA-2AEB1332X,OK,P13.3KDCCT-ND,Cut Tape (CT),0,1,"CAD 0.6 (1-9), 0.428 (10-99), 0.1709 (100-999), 0.08423 (1000-2499), 0.07804 (2500-4999), 0.0706 (5000+)"
U2,1,DCPA10505P-U/700,DC DC CONVERTER 5V 1W,Texas Instruments,,,DCPA10505P-U/700,OK,296-51051-1-ND,Cut Tape (CT),0,1,CAD 12.41 (1+)
U6,1,REF3040AIDBZT,IC VREF SERIES 0.2% SOT23-3,Texas Instruments,,,REF3040AIDBZT,OK,REF3040AIDBZTCT-ND,Cut Tape (CT),0,1,"CAD 2.01 (1-9), 1.801 (10-24), 1.7092 (25-99), 1.404 (100+)"
U3,1,LM2611BMF,IC REG CUK ADJ 900MA SOT23-5,Texas Instruments,,,LM2611BMF/NOPB,OK,LM2611BMF/NOPBCT-ND,Cut Tape (CT),0,1,"CAD 5.92 (1-9), 5.317 (10-24), 5.026 (25-99), 4.3557 (100-249), 4.1324 (250-499), 3.70798 (500+)"
U10,1,74LVC1G3157,IC SWITCH SPDT SOT23-6,Texas Instruments,,,1P1G3157QDBVRQ1,OK,296-18349-1-ND,Cut Tape (CT),0,1,"CAD 0.76 (1-9), 0.652 (10-24), 0.6092 (25-99), 0.4871 (100-249), 0.45236 (250-499), 0.38274 (500-999), 0.29575 (1000+)"
U5,1,DAC8311IDCKR,IC DAC 14BIT V-OUT SC70-6,Texas Instruments,,,DAC8311IDCKR,OK,296-49163-1-ND,Cut Tape (CT),0,1,"CAD 7.97 (1-9), 7.157 (10-24), 6.7664 (25-99), 5.8642 (100-249), 5.56348 (250-499), 4.99212 (500-999), 4.96489 (1000+)"
J2,1,ClickBoard,CONN HEADER VERT 8POS 2.54MM,W?th Elektronik,,,61300811121,OK,732-5321-ND,Bulk,0,1,"CAD 0.52 (1-9), 0.449 (10-24), 0.3744 (25-49), 0.3124 (50-99), 0.2835 (100-999), 0.25734 (1000+)"
U8-U9,2,TLV9302IDR,IC OPAMP GP 2 CIRCUIT 8SOIC,Texas Instruments,,,TLV9302IDR,OK,296-53513-1-ND,Cut Tape (CT),0,1,"CAD 1.42 (1-9), 1.269 (10-24), 1.2044 (25-99), 0.9896 (100-249), 0.92508 (250-499), 0.81754 (500-999), 0.71037 (1000+)"
"R6, R10",2,5K90,RES SMD 5.9K OHM 0.1% 1/16W 0402,Panasonic Electronic Components,50V,0.10%,ERA-2AEB5901X,OK,P5.9KDCCT-ND,Cut Tape (CT),8,1,"CAD 0.6 (1-9), 0.428 (10-99), 0.1709 (100-999), 0.08423 (1000-2499), 0.07804 (2500-4999), 0.0706 (5000+)"
U4,1,LMR64010XMFE/NOPB,IC REG BOOST ADJ 1A SOT23-5,Texas Instruments,,,LMR64010XMFE/NOPB,OK,LMR64010XMFE/NOPBCT-ND,Cut Tape (CT),215,1,"CAD 3.06 (1-9), 2.749 (10-24), 2.5944 (25-99), 2.2102 (100+)"
